line_name,start_city,end_city,open_year,open_date,length_km,max_speed,source
京津城际铁路,北京,天津,2008,2008-08-01,120,350,
石太客运专线,石家庄,太原,2009,2009-04-01,225,250,
合武铁路,合肥,武汉,2009,2009-04-01,359,250,
甬台温铁路,宁波,温州,2009,2009-09-28,268,250,
温福铁路,温州,福州,2009,2009-09-28,298,250,
武广高速铁路,武汉,广州,2009,2009-12-26,968,350,
郑西高速铁路,郑州,西安,2010,2010-02-06,457,350,
福厦铁路,福州,厦门,2010,2010-04-26,275,250,
沪宁城际铁路,上海,南京,2010,2010-07-01,301,350,
昌九城际铁路,南昌,九江,2010,2010-09-20,131,250,
沪杭高速铁路,上海,杭州,2010,2010-10-26,169,350,
京沪高速铁路,北京,上海,2011,2011-06-30,1318,380,
广深港高铁广深段,广州,深圳,2011,2011-12-26,110,350,
哈大高速铁路,哈尔滨,大连,2012,2012-12-01,921,350,
京广高铁京武段,北京,武汉,2012,2012-12-26,1224,350,
宁杭高速铁路,南京,杭州,2012,2013-07-01,249,350,
宁杭高速铁路,南京,杭州,2013,2013-07-01,249,350,
杭甬高速铁路,杭州,宁波,2013,2013-07-01,150,350,
津秦高速铁路,天津,秦皇岛,2013,2013-12-01,261,350,
厦深铁路,厦门,深圳,2013,2013-12-28,514,250,
西宝高速铁路,西安,宝鸡,2013,2013-12-28,148,250,
渝利铁路,重庆,利川,2013,2013-12-28,264,200,
成绵乐城际铁路,成都,乐山,2014,2014-12-20,131,250,
兰新高速铁路,兰州,乌鲁木齐,2014,2014-12-26,1776,250,
贵广高速铁路,贵阳,广州,2014,2014-12-26,857,300,
南广铁路,南宁,广州,2014,2014-12-26,563,250,
青荣城际铁路,青岛,荣成,2014,2014-12-28,298,250,
合福高速铁路,合肥,福州,2015,2015-06-28,850,300,
哈齐高速铁路,哈尔滨,齐齐哈尔,2015,2015-08-17,282,250,
沈丹高速铁路,沈阳,丹东,2015,2015-09-01,208,250,
吉图珲高速铁路,吉林,珲春,2015,2015-09-20,360,250,
京津城际延伸线,天津,滨海新区,2015,2015-09-20,45,350,
成渝高速铁路,成都,重庆,2015,2015-12-26,308,350,
海南环岛高铁,海口,三亚,2015,2015-12-30,653,250,
郑徐高速铁路,郑州,徐州,2016,2016-09-10,362,350,
沪昆高速铁路长昆段,长沙,昆明,2016,2016-12-28,1167,300,
南昆高速铁路,南宁,昆明,2016,2016-12-28,710,250,
宝兰高速铁路,宝鸡,兰州,2017,2017-07-09,401,250,
武九高速铁路,武汉,九江,2017,2017-09-21,224,250,
西成高速铁路,西安,成都,2017,2017-12-06,658,250,
石济高速铁路,石家庄,济南,2017,2017-12-28,298,250,
广深港高铁香港段,深圳,香港,2018,2018-09-23,26,200,
杭黄高速铁路,杭州,黄山,2018,2018-12-25,265,250,
济青高速铁路,济南,青岛,2018,2018-12-26,308,350,
怀邵衡铁路,怀化,衡阳,2018,2018-12-26,318,200,
京哈高铁承沈段,承德,沈阳,2018,2018-12-29,506,350,
日兰高铁日曲段,日照,曲阜,2019,2019-11-26,235,350,
汉十高速铁路,汉口,十堰,2019,2019-11-29,399,350,
商合杭高铁商合段,商丘,合肥,2019,2019-12-01,378,350,
郑阜高速铁路,郑州,阜阳,2019,2019-12-01,281,350,
成贵高速铁路,成都,贵阳,2019,2019-12-16,648,250,
昌赣高速铁路,南昌,赣州,2019,2019-12-26,418,350,
京张高速铁路,北京,张家口,2019,2019-12-30,174,350,
郑太高速铁路,郑州,太原,2020,2020-12-12,432,250,
合安高速铁路,合肥,安庆,2020,2020-12-22,162,350,
银西高速铁路,银川,西安,2020,2020-12-26,618,250,
京雄城际铁路,北京,雄安,2020,2020-12-27,92,350,
京哈高铁京沈段,北京,沈阳,2021,2021-01-22,698,350,
徐连高速铁路,徐州,连云港,2021,2021-02-08,180,350,
张吉怀高速铁路,张家界,怀化,2021,2021-12-06,246,350,
沈佳高铁牡佳段,牡丹江,佳木斯,2021,2021-12-06,372,250,
京港高铁赣深段,赣州,深圳,2021,2021-12-10,436,350,
日兰高铁曲庄段,曲阜,庄寨,2021,2021-12-26,204,350,
济郑高铁济濮段,济南,濮阳,2022,2022-06-20,197,350,
郑渝高铁襄万段,襄阳,万州,2022,2022-06-20,434,350,
京广高铁京武段提速,北京,武汉,2022,2022-06-20,1224,350,
合杭高铁湖杭段,湖州,杭州,2022,2022-09-22,138,350,
弥蒙高速铁路,弥勒,蒙自,2022,2022-12-16,107,250,
贵南高速铁路,贵阳,南宁,2023,2023-08-31,482,350,
福厦高速铁路,福州,厦门,2023,2023-09-28,277,350,
沪宁沿江高速铁路,南京,太仓,2023,2023-09-28,278,350,
济郑高铁济濮段,济南,郑州,2023,2023-12-08,407,350,
成自宜高速铁路,成都,宜宾,2023,2023-12-26,261,350,
汕汕高铁汕汕段,汕头,汕尾,2023,2023-12-26,162,350,
池黄高速铁路,池州,黄山,2024,2024-04-26,125,350,
潍烟高速铁路,潍坊,烟台,2024,2024-10-21,237,350,
沪苏湖高速铁路,上海,湖州,2024,2024-12-26,164,350,
南珠高铁南玉段,南宁,玉林,2024,2024-12-30,193,350,
西延高速铁路,西安,延安,2025,2025-12-26,299,350,
杭衢高速铁路,杭州,衢州,2025,2025-12-26,131,350,
